,eid,EPS
319,2-s2.0-85121216453,0
320,2-s2.0-85117947392,0
321,2-s2.0-85124870514,0
322,2-s2.0-85116012931,0
323,2-s2.0-85111845406,0
324,2-s2.0-85119254216,0
325,2-s2.0-85123167384,0
326,2-s2.0-85139993505,0
327,2-s2.0-85139168491,0
328,2-s2.0-85139117322,0
329,2-s2.0-85138215256,0
330,2-s2.0-85122186354,0
331,2-s2.0-85121594838,0
332,2-s2.0-85119901581,0
333,2-s2.0-85114672366,0
334,2-s2.0-85121304897,0
335,2-s2.0-85116063682,0
336,2-s2.0-85122806417,0
337,2-s2.0-85119879280,0
338,2-s2.0-85118766328,0
339,2-s2.0-85118361400,0
340,2-s2.0-85116292690,0
341,2-s2.0-85108569075,0
342,2-s2.0-85136455660,0
343,2-s2.0-85111310751,0
344,2-s2.0-85110481484,0
345,2-s2.0-85113667743,1
346,2-s2.0-85105830151,1
347,2-s2.0-85105693046,0
348,2-s2.0-85104982695,0
349,2-s2.0-85105292054,0
350,2-s2.0-85104303862,0
351,2-s2.0-85104843571,0
352,2-s2.0-85085759369,0
353,2-s2.0-84921044684,0
354,2-s2.0-85140476898,0
355,2-s2.0-84880137338,1
356,2-s2.0-85140596061,0
357,2-s2.0-85139829088,0
358,2-s2.0-85139009433,0
359,2-s2.0-85137168081,0
360,2-s2.0-85136503972,0
361,2-s2.0-85135891468,0
362,2-s2.0-85137165755,0
363,2-s2.0-85139218385,1
364,2-s2.0-85138447894,0
365,2-s2.0-85136771060,0
366,2-s2.0-85135384959,0
367,2-s2.0-85127510983,1
368,2-s2.0-85131515709,0
369,2-s2.0-85138914981,0
370,2-s2.0-85137215014,0
371,2-s2.0-85129855983,0
372,2-s2.0-85137260288,0
373,2-s2.0-85134264389,0
374,2-s2.0-85127313115,0
375,2-s2.0-85126575415,0
376,2-s2.0-85126712330,0
377,2-s2.0-85117114199,0
378,2-s2.0-85116901017,0
379,2-s2.0-85116898977,0
380,2-s2.0-85125622408,0
381,2-s2.0-85132173603,0
382,2-s2.0-85130796845,0
383,2-s2.0-85127647558,1
384,2-s2.0-85124237683,0
385,2-s2.0-85124514197,1
386,2-s2.0-85111051240,0
387,2-s2.0-85128473613,0
388,2-s2.0-85126585216,0
389,2-s2.0-84908459413,1
390,2-s2.0-85123924417,0
391,2-s2.0-85118201536,0
392,2-s2.0-85127403713,0
393,2-s2.0-85124400440,0
394,2-s2.0-85140293442,0
395,2-s2.0-85122228620,0
396,2-s2.0-85125722070,0
397,2-s2.0-85123727520,0
398,2-s2.0-85120991745,0
399,2-s2.0-85139999102,0
400,2-s2.0-85139766400,0
401,2-s2.0-85139128720,0
402,2-s2.0-85138832223,1
403,2-s2.0-85130945340,0
404,2-s2.0-85128786750,0
405,2-s2.0-85128228641,0
406,2-s2.0-85123848196,0
407,2-s2.0-85122851447,0
408,2-s2.0-85118498185,0
409,2-s2.0-85118491613,0
410,2-s2.0-85116227710,0
411,2-s2.0-85115228606,0
412,2-s2.0-85108292703,0
413,2-s2.0-85098639360,0
414,2-s2.0-85120651264,1
415,2-s2.0-85118557055,0
416,2-s2.0-85117366598,0
417,2-s2.0-85110425271,0
418,2-s2.0-85105637643,0
419,2-s2.0-85117403165,0
420,2-s2.0-85119894231,0
421,2-s2.0-85115369001,0
422,2-s2.0-85115103591,0
423,2-s2.0-85114122229,0
424,2-s2.0-85114093133,0
425,2-s2.0-85107920689,1
426,2-s2.0-85111751833,0
427,2-s2.0-85116412081,0
428,2-s2.0-85115783131,0
429,2-s2.0-85100737405,0
430,2-s2.0-85106691869,0
431,2-s2.0-85111647334,0
432,2-s2.0-85111034280,0
433,2-s2.0-85109173933,0
434,2-s2.0-85107388993,1
435,2-s2.0-85113422531,0
436,2-s2.0-85062880631,1
437,2-s2.0-85107923775,0
438,2-s2.0-85100453034,0
439,2-s2.0-85109369188,0
440,2-s2.0-85107342501,1
441,2-s2.0-85087588371,0
442,2-s2.0-85100198354,1
443,2-s2.0-85102891166,0
444,2-s2.0-85104062256,0
445,2-s2.0-85103452752,0
446,2-s2.0-85101546285,0
447,2-s2.0-85100389817,0
448,2-s2.0-85086870851,0
449,2-s2.0-85102388575,0
450,2-s2.0-85100261720,0
451,2-s2.0-85100245379,0
452,2-s2.0-85099973230,0
453,2-s2.0-85091933163,0
454,2-s2.0-85090408149,0
455,2-s2.0-85099789532,0
456,2-s2.0-85110510944,0
457,2-s2.0-85109888981,0
458,2-s2.0-85105010815,0
459,2-s2.0-85089395722,0
460,2-s2.0-85090157329,0
461,2-s2.0-85098887296,0
462,2-s2.0-85097200445,0
463,2-s2.0-85089438453,0
464,2-s2.0-85088749993,0
465,2-s2.0-85085944082,0
466,2-s2.0-85028986408,0
467,2-s2.0-85043476305,1
468,2-s2.0-85094215648,0
469,2-s2.0-84976574490,0
470,2-s2.0-85090044764,0
471,2-s2.0-84923817862,1
472,2-s2.0-85092703841,0
473,2-s2.0-85092692701,0
474,2-s2.0-85087206956,0
475,2-s2.0-80053547860,1
476,2-s2.0-85091363425,0
477,2-s2.0-85087005163,0
478,2-s2.0-85086719138,0
479,2-s2.0-85089855488,0
480,2-s2.0-85089512851,0
481,2-s2.0-85088107732,0
482,2-s2.0-85083514924,0
483,2-s2.0-85088663799,0
484,2-s2.0-85083839796,0
485,2-s2.0-85081653539,0
486,2-s2.0-85079489701,0
487,2-s2.0-84871533198,1
488,2-s2.0-85080037446,0
489,2-s2.0-85078446081,0
490,2-s2.0-85077946734,0
491,2-s2.0-85100703214,0
492,2-s2.0-85082759663,1
493,2-s2.0-85076572660,1
494,2-s2.0-84963967587,1
495,2-s2.0-85078209133,0
496,2-s2.0-85075302753,0
497,2-s2.0-85081283583,0
498,2-s2.0-85080992355,0
499,2-s2.0-85079456208,0
500,2-s2.0-85075951203,0
501,2-s2.0-85074583222,0
502,2-s2.0-85078396608,0
503,2-s2.0-85072982208,0
504,2-s2.0-85065729442,0
505,2-s2.0-85083880222,0
506,2-s2.0-85074582385,0
507,2-s2.0-85106932408,1
508,2-s2.0-85076991162,0
509,2-s2.0-85082309456,0
510,2-s2.0-85081231112,1
511,2-s2.0-85064655976,0
512,2-s2.0-85074274958,0
513,2-s2.0-85077570551,0
514,2-s2.0-85072539697,0
515,2-s2.0-85070910431,0
516,2-s2.0-85068252134,0
517,2-s2.0-85069768109,0
518,2-s2.0-85066069797,0
519,2-s2.0-85065496085,0
520,2-s2.0-85069865235,0
521,2-s2.0-85070598756,0
522,2-s2.0-85069948862,0
523,2-s2.0-85064160508,0
524,2-s2.0-85076864681,1
525,2-s2.0-85064052036,0
526,2-s2.0-85063113861,0
527,2-s2.0-85062537875,0
528,2-s2.0-85061526539,1
529,2-s2.0-85061322692,1
530,2-s2.0-85067602233,1
531,2-s2.0-85063903866,0
532,2-s2.0-85065074247,0
533,2-s2.0-85060339074,1
534,2-s2.0-85041570604,0
535,2-s2.0-85085875203,0
536,2-s2.0-85060647764,0
537,2-s2.0-85057150401,0
538,2-s2.0-85062077536,0
539,2-s2.0-85054572957,0
540,2-s2.0-85053463637,0
541,2-s2.0-85059614858,0
542,2-s2.0-85076756539,0
543,2-s2.0-85070874467,1
544,2-s2.0-85065037392,0
545,2-s2.0-85062810294,0
546,2-s2.0-85059343247,0
547,2-s2.0-85054690895,0
548,2-s2.0-78449266133,0
549,2-s2.0-85053827671,0
550,2-s2.0-85053825177,0
551,2-s2.0-85053079782,0
552,2-s2.0-85048882380,0
553,2-s2.0-85050682134,1
554,2-s2.0-85041593262,0
555,2-s2.0-85047789659,0
556,2-s2.0-85047612523,0
557,2-s2.0-85032220739,0
558,2-s2.0-85049482479,0
559,2-s2.0-85052597534,0
560,2-s2.0-85049585870,0
561,2-s2.0-85043317304,0
562,2-s2.0-85042454663,0
563,2-s2.0-85055957062,0
564,2-s2.0-85045903830,1
565,2-s2.0-85044638125,0
566,2-s2.0-85043995331,0
567,2-s2.0-85035045153,0
568,2-s2.0-85042867508,0
569,2-s2.0-85040127753,0
570,2-s2.0-85025110109,0
571,2-s2.0-85041694491,0
572,2-s2.0-85044722944,0
573,2-s2.0-85044344673,0
574,2-s2.0-84976299681,0
575,2-s2.0-85011854112,0
576,2-s2.0-85048286376,1
577,2-s2.0-85044286553,0
578,2-s2.0-85096892320,1
579,2-s2.0-85034094503,0
580,2-s2.0-85038871478,0
581,2-s2.0-85037355932,0
582,2-s2.0-85026417505,1
583,2-s2.0-85096036059,0
584,2-s2.0-85042786025,0
585,2-s2.0-85017116102,0
