eid,EPS,doi
2-s2.0-85110481484,0,
2-s2.0-85105693046,0,
2-s2.0-85104982695,0,
2-s2.0-85105292054,0,
2-s2.0-85104303862,0,
2-s2.0-85104843571,0,
2-s2.0-85085759369,0,
2-s2.0-84921044684,0,
2-s2.0-85140476898,0,
2-s2.0-85140596061,0,
2-s2.0-85139829088,0,
2-s2.0-85139009433,0,
2-s2.0-85137168081,0,
2-s2.0-85136503972,0,
2-s2.0-85135891468,0,
2-s2.0-85137165755,0,
2-s2.0-85138447894,0,
2-s2.0-85136771060,0,
2-s2.0-85135384959,0,
2-s2.0-85131515709,0,
2-s2.0-85138914981,0,
2-s2.0-85137215014,0,
2-s2.0-85129855983,0,
2-s2.0-85137260288,0,
2-s2.0-85134264389,0,
2-s2.0-85127313115,0,
2-s2.0-85126575415,0,
2-s2.0-85126712330,0,
2-s2.0-85117114199,0,
2-s2.0-85116901017,0,
2-s2.0-85116898977,0,
2-s2.0-85125622408,0,
2-s2.0-85132173603,0,
2-s2.0-85130796845,0,
2-s2.0-85124237683,0,
2-s2.0-85111051240,0,
2-s2.0-85128473613,0,
2-s2.0-85126585216,0,
2-s2.0-85123924417,0,
2-s2.0-85118201536,0,
2-s2.0-85127403713,0,
2-s2.0-85124400440,0,
2-s2.0-85140293442,0,
2-s2.0-85122228620,0,
2-s2.0-85125722070,0,
2-s2.0-85123727520,0,
2-s2.0-85120991745,0,
2-s2.0-85139999102,0,
2-s2.0-85139766400,0,
2-s2.0-85139128720,0,
2-s2.0-85130945340,0,
2-s2.0-85128786750,0,
2-s2.0-85128228641,0,
2-s2.0-85123848196,0,
2-s2.0-85122851447,0,
2-s2.0-85118498185,0,
2-s2.0-85118491613,0,
2-s2.0-85116227710,0,
2-s2.0-85115228606,0,
2-s2.0-85108292703,0,
2-s2.0-85098639360,0,
2-s2.0-85118557055,0,
2-s2.0-85117366598,0,
2-s2.0-85110425271,0,
2-s2.0-85105637643,0,
2-s2.0-85117403165,0,
2-s2.0-85119894231,0,
2-s2.0-85115369001,0,
2-s2.0-85115103591,0,
2-s2.0-85114122229,0,
2-s2.0-85114093133,0,
2-s2.0-85111751833,0,
2-s2.0-85116412081,0,
2-s2.0-85115783131,0,
2-s2.0-85100737405,0,
2-s2.0-85106691869,0,
2-s2.0-85111647334,0,
2-s2.0-85111034280,0,
2-s2.0-85109173933,0,
2-s2.0-85113422531,0,
2-s2.0-85107923775,0,
2-s2.0-85100453034,0,
2-s2.0-85109369188,0,
2-s2.0-85087588371,0,
2-s2.0-85102891166,0,
2-s2.0-85104062256,0,
2-s2.0-85103452752,0,
2-s2.0-85101546285,0,
2-s2.0-85100389817,0,
2-s2.0-85086870851,0,
2-s2.0-85102388575,0,
2-s2.0-85100261720,0,
2-s2.0-85100245379,0,
2-s2.0-85099973230,0,
2-s2.0-85091933163,0,
2-s2.0-85090408149,0,
2-s2.0-85099789532,0,
2-s2.0-85110510944,0,
2-s2.0-85109888981,0,
2-s2.0-85105010815,0,
2-s2.0-85089395722,0,
2-s2.0-85090157329,0,
2-s2.0-85098887296,0,
2-s2.0-85097200445,0,
2-s2.0-85089438453,0,
2-s2.0-85088749993,0,
2-s2.0-85085944082,0,
2-s2.0-85028986408,0,
2-s2.0-85043476305,1,
2-s2.0-85094215648,0,
2-s2.0-84976574490,0,
2-s2.0-85090044764,0,
2-s2.0-85092703841,0,
2-s2.0-85092692701,0,
2-s2.0-85087206956,0,
2-s2.0-85091363425,0,
2-s2.0-85087005163,0,
2-s2.0-85086719138,0,
2-s2.0-85089855488,0,
2-s2.0-85089512851,0,
2-s2.0-85088107732,0,
2-s2.0-85083514924,0,
2-s2.0-85088663799,0,
2-s2.0-85083839796,0,
2-s2.0-85081653539,0,
2-s2.0-85079489701,0,
2-s2.0-85080037446,0,
2-s2.0-85078446081,0,
2-s2.0-85077946734,0,
2-s2.0-85100703214,0,
2-s2.0-85078209133,0,
2-s2.0-85075302753,0,
2-s2.0-85081283583,0,
2-s2.0-85080992355,0,
2-s2.0-85079456208,0,
2-s2.0-85075951203,0,
2-s2.0-85074583222,0,
2-s2.0-85078396608,0,
2-s2.0-85072982208,0,
2-s2.0-85065729442,0,
2-s2.0-85083880222,0,
2-s2.0-85074582385,0,
2-s2.0-85106932408,1,
2-s2.0-85076991162,0,
2-s2.0-85082309456,0,
2-s2.0-85064655976,0,
2-s2.0-85074274958,0,
2-s2.0-85077570551,0,
2-s2.0-85072539697,0,
2-s2.0-85070910431,0,
2-s2.0-85068252134,0,
2-s2.0-85069768109,0,
2-s2.0-85066069797,0,
2-s2.0-85065496085,0,
2-s2.0-85069865235,0,
2-s2.0-85070598756,0,
2-s2.0-85069948862,0,
2-s2.0-85064160508,0,
2-s2.0-85064052036,0,
2-s2.0-85063113861,0,
2-s2.0-85062537875,0,
2-s2.0-85063903866,0,
2-s2.0-85065074247,0,
2-s2.0-85041570604,0,
2-s2.0-85085875203,0,
2-s2.0-85060647764,0,
2-s2.0-85057150401,0,
2-s2.0-85062077536,0,
2-s2.0-85054572957,0,
2-s2.0-85053463637,0,
2-s2.0-85059614858,0,
2-s2.0-85076756539,0,
2-s2.0-85065037392,0,
2-s2.0-85062810294,0,
2-s2.0-85059343247,0,
2-s2.0-85054690895,0,
2-s2.0-78449266133,0,
2-s2.0-85053827671,0,
2-s2.0-85053825177,0,
2-s2.0-85053079782,0,
2-s2.0-85048882380,0,
2-s2.0-85041593262,0,
2-s2.0-85047789659,0,
2-s2.0-85047612523,0,
2-s2.0-85032220739,0,
2-s2.0-85049482479,0,
2-s2.0-85052597534,0,
2-s2.0-85049585870,0,
2-s2.0-85043317304,0,
2-s2.0-85042454663,0,
2-s2.0-85055957062,0,
2-s2.0-85044638125,0,
2-s2.0-85043995331,0,
2-s2.0-85035045153,0,
2-s2.0-85042867508,0,
2-s2.0-85040127753,0,
2-s2.0-85025110109,0,
2-s2.0-85041694491,0,
2-s2.0-85044722944,0,
2-s2.0-85044344673,0,
2-s2.0-84976299681,0,
2-s2.0-85011854112,0,
2-s2.0-85044286553,0,
2-s2.0-85034094503,0,
2-s2.0-85038871478,0,
2-s2.0-85037355932,0,
2-s2.0-85096036059,0,
2-s2.0-85042786025,0,
2-s2.0-85017116102,0,
2-s2.0-84991079644,0,
2-s2.0-85029712339,0,
2-s2.0-84965036487,0,
2-s2.0-85021701261,0,
2-s2.0-85016429289,0,
2-s2.0-85008721589,0,
2-s2.0-84940177218,0,
2-s2.0-85014110978,0,
2-s2.0-85027955099,0,
2-s2.0-85009910395,0,
2-s2.0-85008481831,0,
2-s2.0-84997611014,0,
2-s2.0-85006415928,0,
2-s2.0-85029535906,0,
2-s2.0-85028235927,0,
2-s2.0-85025610892,0,
2-s2.0-85058690710,0,
2-s2.0-85016390575,0,
2-s2.0-85014440480,0,
2-s2.0-85012108007,0,
2-s2.0-85008352580,0,
2-s2.0-85007480248,0,
2-s2.0-84996957331,0,
2-s2.0-84991372855,0,
2-s2.0-84959104633,0,
2-s2.0-85000702146,0,
2-s2.0-85000461141,0,
2-s2.0-85008158331,0,
2-s2.0-84963745998,0,
2-s2.0-84957549224,0,
2-s2.0-84952359825,0,
2-s2.0-84962316148,0,
2-s2.0-84959257177,0,
2-s2.0-84959218230,0,
2-s2.0-84961859508,0,
2-s2.0-84962300674,0,
2-s2.0-84953744802,0,
2-s2.0-84949646539,0,
2-s2.0-84942057811,0,
2-s2.0-84933556051,0,
2-s2.0-84939432017,0,
2-s2.0-84980315848,0,
2-s2.0-84940175578,0,
2-s2.0-84924765717,0,
2-s2.0-84930382809,0,
2-s2.0-84936985194,0,
2-s2.0-84937116207,0,
2-s2.0-84930864923,0,
2-s2.0-84927909923,0,
2-s2.0-84927748827,0,
2-s2.0-84921999900,0,
2-s2.0-84971482798,0,
2-s2.0-84949119055,0,
2-s2.0-85039159703,0,
2-s2.0-84910066272,0,
2-s2.0-84919723187,0,
2-s2.0-84906715196,0,
2-s2.0-84890845328,0,
2-s2.0-84983232269,0,
2-s2.0-84907362066,0,
2-s2.0-84903450257,0,
2-s2.0-85028518680,0,
2-s2.0-84893402960,0,
2-s2.0-84890221577,0,
2-s2.0-84890161367,0,
2-s2.0-84887188922,0,
2-s2.0-84880327457,0,
2-s2.0-84877126300,0,
2-s2.0-85021741468,0,
2-s2.0-84876673417,0,
2-s2.0-84876325142,0,
2-s2.0-84875222608,0,
2-s2.0-84874408246,0,
2-s2.0-85139249999,0,
2-s2.0-84903166872,0,
2-s2.0-84886587020,0,
2-s2.0-84885443853,0,
2-s2.0-84877828781,0,
2-s2.0-84874335506,0,
2-s2.0-84871763590,0,
2-s2.0-84868206704,0,
2-s2.0-84861225751,0,
2-s2.0-84860916496,0,
2-s2.0-84873862548,0,
2-s2.0-84859570324,0,
2-s2.0-84857032120,0,
2-s2.0-84859195629,0,
2-s2.0-84862253419,0,
2-s2.0-84859099983,0,
2-s2.0-80052781043,0,
2-s2.0-79957439604,0,
2-s2.0-79951642426,0,
2-s2.0-79851506650,0,
2-s2.0-84886778439,0,
2-s2.0-80054033962,0,
2-s2.0-84864033848,0,
2-s2.0-78649261526,0,
2-s2.0-79953224579,0,
2-s2.0-77955231997,0,
2-s2.0-67651027603,0,
2-s2.0-65549087164,0,
2-s2.0-63149113306,0,
2-s2.0-63449089699,0,
2-s2.0-70349679078,0,
2-s2.0-40349089088,0,
2-s2.0-34147189640,0,
2-s2.0-33947212915,0,
2-s2.0-33749261112,0,
2-s2.0-84878404241,0,
2-s2.0-34047232179,0,
2-s2.0-34147178514,0,
2-s2.0-26844446363,0,
2-s2.0-20844444323,0,
2-s2.0-25144457651,0,
2-s2.0-9744254431,0,
2-s2.0-1842784526,0,
2-s2.0-0141889607,0,
2-s2.0-0036070555,0,
2-s2.0-0035254971,0,
2-s2.0-0034425738,0,
2-s2.0-0034209925,0,
2-s2.0-0032786138,0,
2-s2.0-0344210386,0,
2-s2.0-0030251220,0,
2-s2.0-0030092692,0,
2-s2.0-0029667933,0,
2-s2.0-0029416404,0,
2-s2.0-0029488431,0,
2-s2.0-85140057905,0,
2-s2.0-85140075125,0,
2-s2.0-85139368093,0,
2-s2.0-85139371839,0,
2-s2.0-85137040147,0,
2-s2.0-85139072900,0,
2-s2.0-85140138764,0,
2-s2.0-85140062082,0,
2-s2.0-85139595678,0,
2-s2.0-85132546192,0,
2-s2.0-67349272009,0,
2-s2.0-85131735322,0,
2-s2.0-85063958781,0,
2-s2.0-0034991588,0,
2-s2.0-85134883759,0,
2-s2.0-77649193170,0,
2-s2.0-85130189097,0,
2-s2.0-85139811587,0,
2-s2.0-85138030417,0,
2-s2.0-78449239545,0,
2-s2.0-78651381621,0,
2-s2.0-48749115215,0,
2-s2.0-85139777028,0,
2-s2.0-85136099704,0,
2-s2.0-28344443385,0,
2-s2.0-85134250854,0,
2-s2.0-85137885719,0,
2-s2.0-85137546841,0,
2-s2.0-85131367347,0,
2-s2.0-84978850717,0,
2-s2.0-85044239456,0,
2-s2.0-38549168651,0,
2-s2.0-85130109503,0,
2-s2.0-85132858183,0,
2-s2.0-85133654874,0,
2-s2.0-28344456624,0,
2-s2.0-85129238774,0,
2-s2.0-85135890585,0,
2-s2.0-85135443398,0,
2-s2.0-85126013561,0,
2-s2.0-85131050033,0,
2-s2.0-85130785161,0,
2-s2.0-84880001648,0,
2-s2.0-85122384883,0,
2-s2.0-85128238428,0,
2-s2.0-85125303420,0,
2-s2.0-85123871242,0,
2-s2.0-85118609491,0,
2-s2.0-85137071401,0,
2-s2.0-85133601951,0,
2-s2.0-85113760436,0,
2-s2.0-85114033178,0,
2-s2.0-85135521153,0,
2-s2.0-85111218554,0,
2-s2.0-85112569256,0,
2-s2.0-85114021461,0,
2-s2.0-85107379351,0,
2-s2.0-85099632482,0,
2-s2.0-85098993501,0,
2-s2.0-85096484436,0,
2-s2.0-85098090112,0,
2-s2.0-85098460577,0,
2-s2.0-85089859130,0,
2-s2.0-85090323951,0,
2-s2.0-85089099303,0,
2-s2.0-35448967791,0,
2-s2.0-85129423106,0,
2-s2.0-85088261239,0,
2-s2.0-85076909354,0,
2-s2.0-85081649683,0,
2-s2.0-85083682490,0,
2-s2.0-85081695970,0,
2-s2.0-85072289737,0,
2-s2.0-85066433974,0,
2-s2.0-85060652748,0,
2-s2.0-85059740287,0,
2-s2.0-85055646411,0,
2-s2.0-52449110028,0,
2-s2.0-85065475509,0,
2-s2.0-85063423320,0,
2-s2.0-85093533859,0,
2-s2.0-85129224029,0,
2-s2.0-0346965430,0,
2-s2.0-85051987476,0,
2-s2.0-85038100664,0,
2-s2.0-85049574334,0,
2-s2.0-85126086801,0,
2-s2.0-84964339382,0,
2-s2.0-84992491192,0,
2-s2.0-84961960531,0,
2-s2.0-84862170625,0,
2-s2.0-57049155415,0,
2-s2.0-34548282201,0,
2-s2.0-84871993250,0,
2-s2.0-84964689580,0,
2-s2.0-79952897520,0,
2-s2.0-85138027701,0,
2-s2.0-84899863199,0,
2-s2.0-0036230020,0,
2-s2.0-33845687682,0,
2-s2.0-84870023811,0,
2-s2.0-0031399023,0,
2-s2.0-80051976316,0,
2-s2.0-0036326488,0,
2-s2.0-84901504678,0,
2-s2.0-85134882538,0,
2-s2.0-85062706426,0,
2-s2.0-84903773900,0,
2-s2.0-85128292230,0,
2-s2.0-84878680174,0,
2-s2.0-85128483819,0,
2-s2.0-85127594651,0,
2-s2.0-85135500244,0,
2-s2.0-0344962386,0,
2-s2.0-85139157836,0,
2-s2.0-0031887636,0,
2-s2.0-84870250975,0,
2-s2.0-84883559874,0,
2-s2.0-85131548561,0,
2-s2.0-0030815940,0,
2-s2.0-84940436312,0,
2-s2.0-61649126483,0,
2-s2.0-13944261229,0,
2-s2.0-85133974282,0,
2-s2.0-85136406933,0,
2-s2.0-85125326740,0,
2-s2.0-84865588816,0,
2-s2.0-70450239613,0,
2-s2.0-84885460862,0,
2-s2.0-80052261171,0,
2-s2.0-84945289591,0,
